id,month,year,tkn_mg_l,tot_precip
Big_Ck,October,1987,0.33333334,69.125
Big_Ck,October,1988,0.345,106.85
Big_Ck,October,2001,0.68666667,128.65
Big_Ck,October,2002,0.2975,64.225
Big_Ck,October,2003,0.435,96.775
Big_Ck,October,2004,0.305,66.075
Big_Ck,October,2005,0.316,62.975
Big_Ck,October,2006,0.64,137.45
Big_Ck,October,2007,0.2575,74.975
Big_Ck,October,2008,0.46,54.7
Big_Ck,October,2009,0.43,100.2
Big_Ck,October,2010,0.36,56.3
Big_Ck,October,2011,0.54,117.7
Big_Ck,September,1979,0.415,53.075
Big_Ck,September,1980,0.43,91.175
Big_Ck,September,1981,0.465,151.925
Big_Ck,September,1982,0.41,102.933334
Big_Ck,September,1983,0.49666667,76.525
Big_Ck,September,1984,0.46,72.3
Big_Ck,September,1985,0.4025,79.8
Big_Ck,September,1986,0.37333333,196.05
Big_Ck,September,1987,0.62666667,122.95
Big_Ck,September,1988,0.42,73.15
Big_Ck,September,1991,0.545,64.65
Big_Ck,September,2000,0.44,80.025
Big_Ck,September,2001,0.32,101.7
Big_Ck,September,2002,0.3525,56.75
Big_Ck,September,2003,0.3325,103.85
Big_Ck,September,2004,0.285,51.65
Big_Ck,September,2005,0.416,83.725
Big_Ck,September,2006,0.33,102.525
Big_Ck,September,2007,0.405,47.075
Big_Ck,September,2008,0.4375,99.975
Big_Ck,September,2009,0.3625,51.825
Big_Ck,September,2010,0.6475,134.425
Big_Otter_Ck,April,1979,0.57,108.65
Big_Otter_Ck,April,1980,1.178,96.4
Big_Otter_Ck,April,1981,0.785,72.1
Big_Otter_Ck,April,1982,1.025,50.85
Big_Otter_Ck,April,1983,0.77,95.5
Big_Otter_Ck,April,1984,0.68,77.1
Big_Otter_Ck,April,1985,0.91333336,59.5
Big_Otter_Ck,April,1986,0.6166667,56.25
Big_Otter_Ck,April,1987,0.88,55.05
Big_Otter_Ck,April,1988,0.85333335,74.075
Big_Otter_Ck,April,1990,0.7,69.6
Big_Otter_Ck,April,1991,1,112.275
Big_Otter_Ck,April,1992,1.0133333,96.4
Big_Otter_Ck,April,1993,0.96,101.05
Big_Otter_Ck,April,2003,0.73333335,65.8
Big_Otter_Ck,April,2004,0.74,53.5
Big_Otter_Ck,April,2005,0.62333333,103.35
Big_Otter_Ck,April,2008,0.77,55.3
Big_Otter_Ck,April,2009,0.84,121.45
Big_Otter_Ck,April,2010,0.75666666,52.65
Big_Otter_Ck,April,2011,1.1166667,146.225
Big_Otter_Ck,August,1979,0.35,99.85
Big_Otter_Ck,August,1981,0.82666665,131.75
Big_Otter_Ck,August,1982,0.475,75.775
Big_Otter_Ck,August,1983,1.25,52.2
Big_Otter_Ck,August,1984,0.57,122
Big_Otter_Ck,August,1987,0.55333334,89.625
Big_Otter_Ck,August,1989,0.67,40.05
Big_Otter_Ck,August,1992,1.1566666,105.8
Big_Otter_Ck,August,1993,0.6166667,46.175
Big_Otter_Ck,August,1994,0.78333336,99.525
Big_Otter_Ck,August,2002,0.49,31.875
Big_Otter_Ck,August,2004,0.59,90.25
Big_Otter_Ck,August,2005,0.7733333,84.6
Big_Otter_Ck,August,2006,0.58666664,60.3
Big_Otter_Ck,August,2008,0.81666666,55.65
Big_Otter_Ck,August,2011,0.6166667,71.575
Big_Otter_Ck,July,1979,0.495,62.775
Big_Otter_Ck,July,1980,0.77666664,139.65
Big_Otter_Ck,July,1981,0.70666665,77.925
Big_Otter_Ck,July,1982,0.6,52.25
Big_Otter_Ck,July,1983,0.575,81.025
Big_Otter_Ck,July,1984,0.67,58.25
Big_Otter_Ck,July,1985,0.8066667,81.125
Big_Otter_Ck,July,1986,0.55333334,103.625
Big_Otter_Ck,July,1989,0.75333333,58.525
Big_Otter_Ck,July,1991,0.55333334,71.3
Big_Otter_Ck,July,1993,0.77,64.175
Big_Otter_Ck,July,1994,1.0666667,90.075
Big_Otter_Ck,July,2003,0.71,75.7
Big_Otter_Ck,July,2004,0.64,83.375
Big_Otter_Ck,July,2005,0.89666665,74.9
Big_Otter_Ck,July,2006,0.67,109.725
Big_Otter_Ck,July,2007,0.45,92.825
Big_Otter_Ck,July,2008,1.11,114.375
Big_Otter_Ck,July,2009,0.63666666,112.4
Big_Otter_Ck,July,2011,0.68666667,82.45
Big_Otter_Ck,June,1979,0.485,86.4
Big_Otter_Ck,June,1980,1.08,99.15
Big_Otter_Ck,June,1981,0.82666665,118.1
Big_Otter_Ck,June,1982,2.5966666,98.4
Big_Otter_Ck,June,1983,0.61333334,61.1
Big_Otter_Ck,June,1984,0.5966667,51.8
Big_Otter_Ck,June,1987,0.6,100.45
Big_Otter_Ck,June,1992,0.68,59.1
Big_Otter_Ck,June,1993,0.8,110.25
Big_Otter_Ck,June,1994,1.1933334,102.95
Big_Otter_Ck,June,1995,0.9533333,64.9
Big_Otter_Ck,June,2003,0.75666666,67.575
Big_Otter_Ck,June,2004,0.61333334,76.775
